"Step","best_acc","n_hidden","sparsity","mean_corr_det","mean_corr_norm_1","mean_corr_norm_2","mean_corr_norm_fro","mean_corr_norm_nuc","mean_corr_global_diff","bottleneck_det","bottleneck_norm_1","bottleneck_norm_2","bottleneck_norm_fro","bottleneck_norm_nuc","bottleneck_global_diff"
"1","0.935032844543457","20","0.012429971115355588","0.0003404559294049728","0.10244873255974127","0.09895136770852316","0.09901116688403196","0.10239200665358392","0.03489602539578243","0.01921415515244007","0.41570723056793213","0.4000716805458069","0.40294405817985535","0.44809845089912415","0.12031300365924835"
"2","0.935032844543457","20","0.012429971115355588","0.0006599692065761017","0.12027037765693696","0.11642733759334131","0.11656524745159653","0.12209584483758708","0.053690828997050875","0.22478219866752625","0.9142680764198303","0.9045964479446411","0.9381052851676941","1.1530853509902954","0.2763577103614807"
"1","0.91796875","20","0.012429971115355588","0.002656617056909927","0.1310440929414772","0.1293577711862582","0.1309778615917284","0.14989474420726634","0.15913060939072288","0.023113595321774483","0.45703125","0.449653685092926","0.45258229970932007","0.5010567903518677","0.11484882235527039"
"2","0.91796875","20","0.012429971115355588","0.0009367251304493347","0.12600800196080547","0.11356720597465018","0.11386633870887207","0.12181540687393466","0.08497796508624134","0.082240529358387","0.9605263471603394","0.9438079595565796","0.9478219151496887","1.0309449434280396","0.09387300908565521"
"1","0.9219777584075928","20","0.012429971115355588","0.0002835376632463215","0.12464901793121111","0.11438313015207988","0.11440998697293574","0.11686197176857821","0.022131131258045243","0.013590426184237003","0.4989720284938812","0.4879939556121826","0.488787978887558","0.5158435106277466","0.06175987049937248"
"2","0.9219777584075928","20","0.012429971115355588","0.000234064374789815","0.11984322191341668","0.11286133645372604","0.11288038967525756","0.11493524752145279","0.01847167434571342","0.12422259896993637","1.0045230388641357","0.919051468372345","0.9289374947547913","1.054215431213379","0.14858901500701904"
"1","0.9443873167037964","20","0.012429971115355588","0.00013959464394723464","0.10685761225447067","0.10113629955630839","0.10114571771743236","0.10251656207886108","0.01413963568401021","0.015059114433825016","0.46669405698776245","0.4493767321109772","0.4506244957447052","0.4828878343105316","0.07547293603420258"
"2","0.9443873167037964","20","0.012429971115355588","0.001079625040673438","0.12554877143254925","0.11466746504014314","0.11505335645259576","0.12408273414280865","0.0832015597611716","0.19354109466075897","0.9650493860244751","0.9024964570999146","0.9276254773139954","1.1169472932815552","0.23955780267715454"
"1","0.9450041055679321","20","0.012429971115355588","0.002413923218087541","0.10822740194896682","0.10400537602993089","0.10656361383836835","0.1272149764393641","0.2243318657415409","0.033398278057575226","0.5287829041481018","0.4803103506565094","0.48531755805015564","0.5498451590538025","0.15018609166145325"
"2","0.9450041055679321","20","0.012429971115355588","0.00010398460287276995","0.11423703951134886","0.1067680945626272","0.10677253652186536","0.10774202411806921","0.00933979521325349","0.28188303112983704","1.0201480388641357","0.9354468584060669","0.9827836155891418","1.2367820739746094","0.32734644412994385"
